Day fraction since midnight on 	PH (pH)
0.64509912	7.21137285
0.64511076	7.24093533
0.64512236	7.23749065
0.64513389	7.23052502
0.64514544	7.22046661
0.64515711	7.20405006
0.64516863	7.18641806
0.64518023	7.20627832
0.64519174	7.09144545
0.64520338	7.20992661
0.64521488	7.20112038
0.64522653	7.22999048
0.64523803	7.17829943
0.64524965	7.20891333
0.6452612	7.20654774
0.6452728	7.18688679
0.64528435	7.19589567
0.645296	7.2054677
0.64530752	7.20054007
0.6453191	7.19047976
0.6453306	7.20653582
0.64534225	7.18824053
0.6453538	7.1964817
0.64536542	7.21924973
0.64537697	7.20247459
0.64538859	7.18824339
0.64540009	7.17559338
0.64541174	7.18277645
0.64542322	7.17171431
0.64543488	7.16169977
0.64544637	7.17326307
0.64545801	7.17547178
0.64546961	7.15358925
0.64548113	7.16610718
0.64549273	7.1655426
0.64550424	7.15605736
0.6455159	7.15399027
0.64552741	7.15662861
0.645539	7.14913654
0.64555056	7.15933514
0.64556218	7.14649725
0.64557373	7.14947462
0.64558532	7.15359497
0.6455969	7.17617464
0.6456085	7.1525712
0.64561998	7.15237093
0.64563157	7.13981247
0.64564319	7.16838884
0.64565479	7.13960171
0.64566632	7.13303041
0.64567789	7.13283539
0.64568951	7.1444664
0.64570104	7.1326375
0.64571259	7.10537291
0.64572417	7.12567568
0.64573576	7.1130743
0.64574734	7.13128185
0.64575891	7.10305834
0.64577049	7.12064314
0.64578208	7.13009119
0.64579359	7.1133008
0.64580525	7.1373806
0.64581685	7.1092267
0.64582838	7.09301329
0.64583998	7.10069561
0.64585146	7.10172844
0.6458631	7.08773279
0.6458747	7.10434914
0.64588623	7.06866026
0.64589782	7.08632898
0.64590942	7.10842037
0.64592097	7.08081245
0.64593255	7.08140135
0.6459441	7.07812023
0.64595569	7.05593443
0.64596722	7.06034231
0.64597882	7.03670979
0.64599039	7.0514431
0.64600204	7.0215373
0.64601356	7.02188683
0.64602519	7.01464128
0.64603671	7.05030203
0.64604826	7.02282381
0.64605981	7.02535439
0.64607141	6.99601364
0.64608296	7.01667929
0.64609461	7.00552368
0.64610611	7.02188396
0.64611773	6.99947023
0.64612926	7.01337719
0.64614083	6.98958778
0.64615241	6.96255541
0.64616403	6.97396708
0.64617507	7.03184223
0.64618713	6.9932785
0.64619875	7.00899315
0.64621035	6.97740841
0.64622185	7.00255442
0.64623352	6.98045778
0.64624512	6.99989557
0.64625667	7.01166964
0.64626824	6.99484396
0.64627979	7.03251076
0.64629139	7.01366234
0.64630294	6.98383284
0.64631449	6.9981389
0.64632609	6.99642563
0.64633769	6.99198389
0.64634917	6.98807859
0.64636081	6.94950438
0.64637234	6.96878052
0.64638391	6.95678997
0.64639553	6.95799351
0.64640713	6.99867487
0.64641868	6.96757364
0.64643019	7.01300526
0.64644181	6.99136114
0.64645336	6.98344469
0.64646493	6.97454548
0.64647655	6.97966719
0.64648808	6.96277428
0.6464997	6.96287918
0.64651125	6.95834064
0.64652282	6.92914915
0.64653442	6.92724466
0.64654593	6.96566439
0.64655755	6.94463682
0.64656914	6.96731186
0.64658076	6.95982599
0.64659222	6.90679312
0.64660389	6.95939922
0.64661546	6.97052574
0.64662699	6.95562458
0.64663856	6.89310789
0.64665009	6.87072945
0.64666174	6.96673203
0.64667331	6.96107912
0.64668486	6.98091412
0.64669648	6.97440672
0.64670801	6.96935749
0.64671905	6.97197485
0.64673116	6.93556261
0.64674222	6.99118996
0.64675426	6.9635911
0.64676588	6.95862913
0.64677748	6.93693542
0.64678907	6.94587564
0.64680058	6.95927477
0.64681215	6.94736481
0.6468238	6.96303892
0.64683481	7.01323891
0.64684692	6.95948839
0.64685845	6.96006966
0.64686944	6.92803669
0.6468816	6.94134092
0.64689322	6.90884399
0.64690481	6.96466637
0.64691634	6.95429802
0.64692794	6.95353985
0.64693947	6.91854239
0.64695109	6.96750259
0.64696211	6.95931435
0.64697424	6.92856741
0.64698581	6.94653606
0.64699736	6.91390085
0.64700898	6.94969702
0.64702053	6.93513632
0.64703208	6.91910839
0.64704368	6.96000671
0.64705521	6.93455362
0.64706683	6.94181919
0.64707838	6.94904613
0.64708942	6.9427743
0.64710157	6.9125576
0.64711308	6.91738939
0.64712417	6.94924116
0.64713572	6.95695972
0.64714729	6.93900919
0.64715942	6.92202568
0.647171	6.93493462
0.64718257	6.95964622
0.64719354	6.94150686
0.64720519	6.94705915
0.64721729	6.94729662
0.64722889	6.95188904
0.64724042	6.93728685
0.64725204	6.91450739
0.64726356	6.93689442
0.64727512	6.91756725
0.64728674	6.9286623
0.64729826	6.89982414
0.64730988	6.88193607
0.6473209	6.92804241
0.64733303	6.90484619
0.647344	6.90235615
0.64735563	6.91794109
0.64736773	6.90117598
0.64737935	6.92442417
0.64739088	6.92431641
0.64740194	6.91022062
0.64741352	6.93457985
0.64742505	6.92586946
0.64743664	6.88598633
0.64744875	6.92758608
0.64745979	6.90983725
0.64747139	6.90762615
0.64748296	6.89344311
0.64749505	6.88959789
0.64750609	6.9040556
0.64751819	6.91563225
0.64752981	6.87100887
0.64754137	6.89537811
0.64755292	6.87955427
0.64756394	6.86739016
0.64757556	6.87344933
0.64758713	6.86834908
0.64759924	6.85563803
0.64761079	6.88168144
0.64762181	6.86102867
0.64763394	6.8862977
0.64764553	6.81096745
0.64765655	6.86617088
0.64766815	6.85443211
0.64768023	6.82704592
0.64769127	6.84352922
0.64770285	6.83322001
0.64771495	6.84788513
0.647726	6.83630991
0.64773755	6.81315327
0.64774968	6.80718184
0.64776127	6.82168865
0.64777285	6.82357216
0.64778442	6.81701231
0.647796	6.83264732
0.64780704	6.84532976
0.64781863	6.90820551
0.64783069	6.85078764
0.64784174	6.82835674
0.64785384	6.88321686
0.64786486	6.82318735
0.6478765	6.86574507
0.64788808	6.86913157
0.64789963	6.87510824
0.6479112	6.86874342
0.64792329	6.88378
0.64793435	6.79386902
0.64794593	6.85136557
0.64795743	6.82260752
0.64796903	6.79803038
0.6479806	6.80254221
0.64799222	6.86049032
0.64800431	6.8388195
0.64801539	6.86615229
0.64802697	6.86062479
0.64803852	6.83727551
0.64805005	6.83765697
0.64806218	6.81392479
0.64807319	6.78995323
0.64808535	6.84230995
0.64809641	6.81585503
0.64810792	6.85849571
0.64811951	6.8317914
0.64813109	6.84634066
0.64814271	6.88333702
0.64815421	6.81488848
0.64816579	6.80138397
0.64817741	6.84695292
0.648189	6.85179806
0.64820058	6.83746481
0.64821215	6.85405779
0.6482237	6.85541248
0.64823528	6.85425615
0.64824687	6.87747192
0.64825838	6.84268236
0.64827	6.82188177
0.64828155	6.86351585
0.64829308	6.84093761
0.64830472	6.8259263
0.64831625	6.83322144
0.64832785	6.81298828
0.64833942	6.82395887
0.64835104	6.84512901
0.64836259	6.81604958
0.64837419	6.81076431
0.64838569	6.81469774
0.64839782	6.82704639
0.64840889	6.80672264
0.64842049	6.81865025
0.64843204	6.81778431
0.64844361	6.80890846
0.64845514	6.83148336
0.64846669	6.79231548
0.64847838	6.79803038
0.64848988	6.81566286
0.64850146	6.82415152
0.64851303	6.82260942
0.64852463	6.81945896
0.64853623	6.76548767
0.64854775	6.79771852
0.64855931	6.81701326
0.64857093	6.81703043
0.64858252	6.76265812
0.64859407	6.78826618
0.64860567	6.75962591
0.64861722	6.78247643
0.64862877	6.76453257
0.64864032	6.76742554
0.64865194	6.77903032
0.64866352	6.74543142
0.64867509	6.75372934
0.64868669	6.76993465
0.64869829	6.75821066
0.64870979	6.74350166
0.64872141	6.76915359
0.64873299	6.72710228
0.64874451	6.74736023
0.64875613	6.7386055
0.64876773	6.77215862
0.64877928	6.68175983
0.64879086	6.69507408
0.64880245	6.73759317
0.64881403	6.73539782
0.64882558	6.71012163
0.64883718	6.67190027
0.6488487	6.69160032
0.64886023	6.69487906
0.64887192	6.72546625
0.64888345	6.71205139
0.64889505	6.67149639
0.64890653	6.69179344
0.64891813	6.72425175
0.64892977	6.69878483
0.64894132	6.69275665
0.64895287	6.69680929
0.64896449	6.70080566
0.64897604	6.69430065
0.64898764	6.6518898
0.64899912	6.65918541
0.64901072	6.6664443
0.64902236	6.69191122
0.64903391	6.70529795
0.64904542	6.65243244
0.64905704	6.66543198
0.64906861	6.71320963
0.64908016	6.7168746
0.64909178	6.73173237
0.64910336	6.66613197
0.64911495	6.64218807
0.64912655	6.66300726
0.64913808	6.65050316
0.64914961	6.66285086
0.6491612	6.64865494
0.64917275	6.67365551
0.64918433	6.64355755
0.64919595	6.68989038
0.64920755	6.64178371
0.64921912	6.64471436
0.64923069	6.647995
0.6492422	6.66246653
0.64925387	6.5898366
0.64926535	6.61673737
0.64927697	6.65896368
0.64928856	6.68018818
0.64930009	6.61886024
0.64931169	6.63774014
0.64932322	6.62059736
0.64933484	6.59468746
0.64934639	6.6535902
0.64935801	6.61671972
0.64936956	6.6281209
0.64938116	6.62824059
0.64939271	6.62136793
0.64940428	6.646451
0.64941581	6.59069109
0.64942745	6.65512466
0.64943907	6.56982517
0.64945058	6.6128788
0.64946211	6.63140106
0.64947375	6.61348486
0.64948525	6.62850761
0.64949685	6.61368656
0.6495084	6.59724998
0.64952	6.62621927
0.64953155	6.60670519
0.64954319	6.62601805
0.64955479	6.56982517
0.64956634	6.58760357
0.64957785	6.56348562
0.64958942	6.63834715
0.64960109	6.59792089
0.64961266	6.59667158
0.64962417	6.59860086
0.64963581	6.62338924
0.64964736	6.58123589
0.64965896	6.60802794
0.64967049	6.6134572
0.64968208	6.59792137
0.64969366	6.58644581
0.64970519	6.59319878
0.64971681	6.57710171
0.64972838	6.61673784
0.64973991	6.58991861
0.6497515	6.62682581
0.64976315	6.56497335
0.64977468	6.61596632
0.64978625	6.60496855
0.6497978	6.60921288
0.64980937	6.60882711
0.64982093	6.58644581
0.64983252	6.59771872
0.64984414	6.58538914
0.64985572	6.59590006
0.64986722	6.52952766
0.6498788	6.66072845
0.64989042	6.59933615
0.64990194	6.60844088
0.64991354	6.5576973
0.64992514	6.63107061
0.64993664	6.56078386
0.64994822	6.57757092
0.64995986	6.60438919
0.64997144	6.52991295
0.64998303	6.56173992
0.64999454	6.53550863
0.65000611	6.56638002
0.65001766	6.57544708
0.65002933	6.55082464
0.6500409	6.54226112
0.65005238	6.55075073
0.65006403	6.52596331
0.65007556	6.54438448
0.65008713	6.54843569
0.65009873	6.55547428
0.65011037	6.55304813
0.65012185	6.52528334
0.65013352	6.52757931
0.65014505	6.52894878
0.65015655	6.51698589
0.65016817	6.52919674
0.65017979	6.52353716
0.6501913	6.52470398
0.65020289	6.52070856
0.65021447	6.54149008
0.65022602	6.52238894
0.65023759	6.53493071
0.65024924	6.52111101
0.65026074	6.52007294
0.65027241	6.50069618
0.65028398	6.50984764
0.65029553	6.49537611
0.65030706	6.53010559
0.65031866	6.51403666
0.65033025	6.53586674
0.65034185	6.50534487
0.65035336	6.47723961
0.650365	6.5110054
0.65037657	6.48457193
0.65038808	6.49363995
0.65039965	6.47685432
0.65041132	6.49907923
0.6504228	6.48476362
0.65043437	6.48032713
0.65044602	6.50494099
0.65045755	6.4994278
0.65046912	6.45080614
0.65048072	6.47280216
0.65049229	6.49171114
0.65050382	6.46199751
0.65051539	6.44617605
0.65052694	6.45813799
0.65053854	6.42348242
0.65055012	6.45871782
0.65056171	6.4453125
0.65057326	6.45022869
0.65058486	6.41681147
0.65059644	6.43556356
0.65060803	6.4410677
0.65061968	6.46633339
0.65063116	6.44405413
0.65064275	6.44046164
0.65065431	6.44212484
0.65066586	6.42668867
0.65067748	6.44814205
0.65068905	6.41935682
0.65070062	6.39967632
0.65071225	6.46512127
0.6507238	6.42861795
0.65073539	6.40124798
0.6507469	6.41202497
0.65075847	6.38539886
0.65077007	6.40407801
0.65078162	6.4374938
0.65079319	6.4185853
0.65080475	6.38231182
0.65081639	6.37820435
0.65082789	6.41048098
0.65083947	6.3989048
0.65085104	6.38655567
0.65086271	6.40529013
0.65087419	6.40295696
0.65088576	6.38559151
0.65089736	6.39094019
0.65090891	6.40488625
0.65092053	6.36183262
0.65093211	6.41221762
0.65094366	6.41395521
0.65095525	6.43096113
0.65096685	6.46875954
0.65097845	6.40306664
0.65098998	6.37690926
0.65100157	6.40407801
0.65101312	6.39157295
0.65102472	6.41398191
0.65103623	6.39002991
0.65104787	6.33737421
0.65105944	6.44559622
0.65107102	6.39658976
0.65108257	6.45505095
0.6510941	6.37555885
0.65110574	6.40690756
0.65111731	6.3850131
0.65112887	6.41627026
0.65114042	6.39832592
0.65115204	6.37416315
0.65116356	6.42205763
0.65117514	6.37208605
0.65118671	6.38790751
0.65119826	6.41202497
0.65120988	6.35657692
0.65122139	6.36726236
0.65123301	6.35880041
0.65124463	6.41923809
0.65125618	6.37555981
0.65126778	6.42691851
0.65127931	6.38308382
0.6512909	6.34849167
0.6513025	6.36284304
0.6513141	6.3355546
0.6513256	6.34217882
0.65133715	6.36475372
0.6513488	6.36122656
0.65136032	6.34854698
0.65137192	6.3634491
0.6513835	6.34102201
0.65139502	6.33233929
0.65140669	6.33474636
0.65141819	6.31632519
0.65142979	6.34121466
0.65144139	6.31554461
0.65145287	6.31574726
0.65146447	6.32746983
0.65147609	6.32868242
0.65148769	6.32807636
0.65149924	6.32693768
0.65151083	6.32787418
0.65152243	6.28219318
0.65153394	6.30204773
0.65154553	6.29169273
0.65155713	6.33535337
0.6515687	6.30185413
0.65158023	6.23895454
0.65159181	6.29915285
0.65160345	6.27309656
0.651615	6.27850819
0.65162657	6.27310658
0.65163812	6.2883482
0.65164972	6.29229975
0.65166123	6.26191521
0.65167285	6.25631952
0.65168442	6.2686677
0.651696	6.2526536
0.65170757	6.27561474
0.65171914	6.2723341
0.65173069	6.22255516
0.65174231	6.26480913
0.65175389	6.26365185
0.65176549	6.26804447
0.65177699	6.2350955
0.65178859	6.2777462
0.65180014	6.21425915
0.65181181	6.24783087
0.65182333	6.21367931
0.65183495	6.18031883
0.65184648	6.19187737
0.6518581	6.17890358
0.65186963	6.20152426
0.65188116	6.21888876
0.65189278	6.20315933
0.65190433	6.16698742
0.6519159	6.41880512
0.65192745	6.21020699
0.6519391	6.1584878
0.65195058	6.16486502
0.65196218	6.23812771
0.65197382	6.16596746
0.65198542	6.16192484
0.65199697	6.15849781
0.65200854	6.14383411
0.65202007	6.1696887
0.65203169	6.14757347
0.65204329	6.16515875
0.65205479	6.16621542
0.65206637	6.16833782
0.65207796	6.15525436
0.65208951	6.15193748
0.65210106	6.13380098
0.65211271	6.1289773
0.65212431	6.15545654
0.65213586	6.14788628
0.65214738	6.12473297
0.652159	6.12897825
0.65217058	6.12839842
0.65218213	6.14209795
0.65219366	6.14074707
0.6522053	6.09400892
0.65221683	6.14383411
0.65222845	6.10371113
0.65224	6.10833263
0.65225155	6.11412048
0.65226315	6.11624384
0.65227472	6.11527872
0.65228627	6.12936354
0.65229789	6.12271118
0.6523094	6.12704802
0.65232106	6.11098814
0.65233255	6.15135813
0.65234419	6.10431767
0.65235569	6.13283682
0.65236729	6.12271118
0.65237889	6.09319973
0.65239049	6.07682848
0.65240201	6.10350847
0.65241361	6.09643459
0.65242519	6.08054924
0.65243676	6.09733534
0.65244831	6.12010193
0.65245991	6.08915758
0.65247153	6.11220074
0.65248306	6.10254478
0.65249465	6.13382816
0.65250623	6.11431408
0.6525178	6.09637022
0.65252942	6.09138107
0.65254095	6.08653069
0.65255245	6.06955004
0.65256412	6.08834934
0.65257572	6.0794549
0.65258722	6.05855274
0.65259884	6.05863571
0.65261039	6.06607819
0.6526219	6.0737958
0.65263352	6.08430624
0.65264516	6.07480669
0.65265664	6.08440733
0.65266831	6.09441328
0.65267986	6.08132124
0.65269139	6.06800795
0.65270301	6.07662535
0.65271454	6.08961678
0.65272609	6.04813528
0.65273769	6.04772139
0.65274931	6.03114605
0.6527609	6.06651878
0.65277241	6.05083513
0.65278396	6.04466105
0.6527956	6.03478479
0.65280713	6.00935316
0.65281877	6.02851868
0.6528303	6.03713655
0.65284187	6.01378965
0.65285347	6.00810337
0.65286495	6.03269815
0.6528766	6.00123072
0.65288815	6.02285814
0.65289979	6.02508163
0.6529113	6.00395012
0.65292287	5.9850421
0.65293447	5.98607159
0.65294604	5.99854755
0.65295762	6.00588036
0.65296917	5.97018576
0.65298081	5.97394323
0.65299227	5.98832273
0.65300394	5.99840117
0.65301551	5.97404337
0.65302706	5.99198866
0.65303856	5.97732401
0.65305016	5.97717714
0.65306183	5.98243189
0.65307336	5.97500944
0.65308495	5.99759197
0.65309655	5.9601984
0.65310808	5.96343279
0.65311965	5.97346497
0.65313127	6.02043295
0.65314278	5.96188927
0.65315437	5.9709115
0.65316595	5.97790337
0.65317757	5.94281483
0.65318912	5.96748352
0.65320072	5.94807053
0.65321231	5.97535801
0.6532238	5.97616625
0.65323542	5.95009232
0.65324692	5.98735762
0.65325856	5.98182631
0.65327014	5.93121052
0.65328171	5.93198252
0.65329324	5.9856205
0.65330488	5.9678793
0.65331646	5.93892813
0.65332799	5.92619467
0.65333963	5.89208031
0.65335113	5.98677874
0.65336275	5.95150661
0.65337428	5.96979952
0.65338586	5.96806335
0.65339745	5.95959139
0.653409	5.99333906
0.65342058	5.94491005
0.65343218	5.9899106
0.65344375	5.96227455
0.65345535	5.96120882
0.65346685	5.967484
0.65347852	5.93654919
0.65349009	5.96806335
0.6535016	5.97346497
0.65351322	5.95757055
0.65352477	5.97828865
0.65353632	5.97057152
0.65354787	5.94510221
0.65355944	5.96362495
0.65357109	5.96444321
0.65358266	5.94761086
0.65359424	5.93429852
0.65360581	5.92947435
0.65361736	5.94645262
0.65362898	5.93553829
0.65364056	5.93063211
0.65365204	5.92465162
0.65366363	5.94160223
0.65367523	5.94928312
0.65368685	5.94160128
0.65369843	5.93699837
0.65370993	5.93449116
0.65372157	5.95150661
0.65373308	5.90419817
0.65374468	5.92927217
0.65375627	5.92704868
0.65376787	5.92300606
0.65377937	5.91847658
0.65379097	5.91572905
0.65380252	5.93313932
0.6538141	5.91114473
0.65382572	5.92320824
0.65383729	5.92194986
0.65384889	5.90218639
0.65386046	5.87930918
0.65387204	5.88606215
0.65388359	5.88123894
0.65389514	5.89320183
0.65390669	5.8793087
0.65391831	5.88945246
0.65392991	5.91330433
0.65394144	5.85113859
0.65395294	5.88857079
0.65396456	5.84801579
0.65397616	5.85812187
0.65398778	5.86014318
0.65399931	5.8605938
0.65401086	5.86946869
0.65402241	5.84187889
0.65403403	5.82133484
0.6540456	5.85268354
0.6540572	5.85468578
0.65406873	5.8277936
0.65408037	5.85650492
0.65409185	5.82161856
0.6541035	5.84842014
0.65411502	5.83994865
0.65412669	5.82901573
0.65413822	5.83416033
0.65414979	5.84920979
0.65416132	5.8264432
0.65417296	5.82557917
0.65418447	5.8052187
0.65419604	5.81583071
0.65420757	5.81100798
0.65421926	5.81547213
0.65423083	5.81467295
0.65424234	5.8096571
0.65425398	5.78959942
0.65426553	5.79634285
0.65427708	5.78823996
0.65428863	5.78245211
0.65430023	5.78575945
0.65431188	5.7774725
0.65432333	5.78611803
0.65433495	5.77504635
0.65434655	5.77827978
0.65435808	5.74579287
0.65436965	5.75852633
0.6543813	5.75180054
0.6543928	5.76238537
0.65440435	5.73846006
0.65441595	5.74472713
0.65442757	5.75685358
0.65443917	5.74412012
0.65445067	5.74714327
0.65446227	5.74452496
0.65447387	5.71562004
0.65448544	5.74077654
0.65449699	5.74502087
0.65450861	5.74250317
0.65452014	5.71974516
0.65453167	5.70218706
0.65454331	5.7321949
0.65455488	5.72591972
0.65456646	5.73228645
0.65457803	5.70373011
0.65458961	5.71511412
0.65460116	5.69620562
0.65461275	5.7226944
0.65462435	5.71561956
0.6546359	5.69466209
0.6546475	5.69035339
0.65465903	5.67228127
0.65467062	5.69035244
0.6546822	5.67787695
0.65469373	5.66128349
0.65470537	5.67398071
0.65471694	5.66282654
0.65472854	5.59353209
0.65474007	5.63542891
0.65475164	5.62771034
0.65476324	5.62668228
0.65477481	5.59105253
0.65478641	5.60970211
0.65479799	5.57137156
0.65480949	5.59992743
0.65482109	5.59878826
0.65483264	5.56539011
0.65484424	5.57251072
0.65485586	5.56200075
0.65486738	5.57117844
0.65487898	5.52844667
0.65489056	5.54146528
0.65490213	5.54455233
0.65491366	5.48338938
0.6549253	5.51995707
0.65493683	5.53316879
0.65494838	5.51541853
0.65495995	5.48589802
0.65497155	5.5031805
0.65498317	5.46053076
0.65499468	5.48030233
0.65500632	5.45931768
0.65501785	5.439013
0.65502947	5.40838099
0.65504097	5.43380308
0.65505262	5.44516897
0.6550641	5.43496132
0.65507574	5.40555096
0.65508731	5.41527987
0.65509884	5.41566658
0.65511046	5.41343451
0.65512197	5.38595343
0.65513356	5.37320948
0.65514521	5.36694431
0.65515678	5.41026497
0.65516829	5.38267374
0.65517993	5.35582638
0.6551915	5.35952044
0.65520308	5.35431099
0.65521458	5.40756321
0.65522616	5.34852266
0.6552378	5.31075096
0.65524931	5.366467
0.65526093	5.3424859
0.65527248	5.32575464
0.65528407	5.32853842
0.65529565	5.34466314
0.65530725	5.33581591
0.65531882	5.31379271
0.65533039	5.34196234
0.65534192	5.32652617
0.65535347	5.31224966
0.65536502	5.29584885
0.65537664	5.28306007
0.65538822	5.29314756
0.65539979	5.29160357
0.65541139	5.29134703
0.65542296	5.29179716
0.65543451	5.30781078
0.65544609	5.27308178
0.65545764	5.24529743
0.65546924	5.26082468
0.65548079	5.20535898
0.65549243	5.2668891
0.65550405	5.26506948
0.65551558	5.24587679
0.65552715	5.22060061
0.65553873	5.2180934
0.65555023	5.19706154
0.65556185	5.23414326
0.65557345	5.21372843
0.655585	5.18066216
0.65559657	5.17989016
0.65560819	5.19937801
0.65561977	5.1698575
0.65563127	5.15229893
0.65564282	5.12895298
0.65565449	5.14844036
0.65566606	5.07164955
0.65567757	5.08573389
0.65568919	5.07607746
0.65570072	5.06663179
0.65571229	5.05370569
0.65572389	5.03524733
0.65573549	5.04070473
0.65574699	5.00045347
0.65575808	5.01483154
0.65577021	4.96032047
0.65578178	4.98212337
0.65579331	4.97440529
0.65580498	4.92225552
0.65581655	4.93234301
0.65582803	4.92636299
0.65583965	4.92326689
0.65585123	4.91150665
0.6558628	4.92231131
0.65587435	4.90320921
0.65588597	4.86768103
0.65589755	4.83510065
0.65590903	4.84532738
0.65592062	4.81856298
0.65593222	4.80299854
0.6559438	4.81928015
0.65595535	4.78512859
0.65596694	4.75650883
0.6559785	4.78030491
0.65599007	4.76814985
0.65600169	4.72113562
0.65601329	4.73023176
0.65602488	4.6649437
0.65603588	4.68616724
0.65604796	4.68344736
0.65605954	4.66743279
0.65607109	4.65797949
0.65608266	4.62498522
0.65609428	4.63159227
0.65610586	4.60530519
0.65611745	4.59985733
0.65612903	4.55012321
0.65614056	4.58311653
0.65615211	4.56420851
0.65616375	4.5473032
0.6561753	4.52677727
0.6561869	4.53760052
0.65619845	4.49918699
